"GEOID20","iteration_0","iteration_50","iteration_100","iteration_150","iteration_200"
"37025002-01",11,9,9,7,4
"37081000G23",9,12,8,4,7
"37081000G22",9,12,8,4,7
"37081000G21",9,12,8,4,7
"3712700P17A",5,6,6,8,8
"37081000G20",9,12,8,4,7
"3707300004N",4,6,6,8,8
"37037000009",8,8,12,12,12
"37025002-09",11,9,9,7,4
"37025002-08",11,9,9,7,4
"37001000103",9,8,8,4,7
"37025002-07",11,9,9,7,4
"37081000G29",9,12,8,4,7
"37025002-06",11,9,9,7,4
"37081000G28",9,12,8,4,7
"37025002-05",11,9,9,7,4
"37081000G27",9,12,8,4,7
"37081000G26",9,12,8,4,7
"37081000G25",9,12,8,4,7
"37055000COL",4,6,6,8,8
"370210067.1",1,10,10,10,10
"3714701511B",4,6,6,8,8
"3714701511A",4,6,6,8,8
"3708700CL-N",1,10,10,10,10
"37125000PBF",2,11,3,3,11
"37161000014",1,10,10,10,13
"3700100012N",9,8,8,4,7
"37161000013",1,10,10,10,13
"37161000011",10,7,7,13,13
"37067000055",12,13,2,2,9
"37067000054",12,13,2,2,9
"37067000053",12,13,2,2,9
"3708700CL-S",1,10,10,10,10
"37067000052",12,13,2,2,9
"37067000051",12,13,2,2,9
"3700100012W",9,12,8,4,7
"371510000BC",11,2,9,7,4
"37065000701",5,6,6,8,8
"37161000019",1,10,10,10,13
"3700100012S",9,12,8,4,7
"37161000018",1,10,10,10,13
"3716300WBRK",2,11,3,3,11
"370130BELHV",4,6,6,8,8
"3718100KITT",5,12,12,12,12
"371390NORTH",4,6,6,8,8
"3719911-PRI",1,10,10,10,10
"37067000043",12,13,2,2,9
"371510000AE",11,2,9,7,4
"3712700P19A",5,6,6,8,8
"37129000W03",3,3,5,5,5
"37067000042",12,13,2,2,9
"37001000129",9,12,8,4,7
"3716300GARL",2,11,3,3,11
"37001000128",9,12,8,4,7
"37001000127",9,12,8,4,7
"3714701102B",4,6,6,8,8
"37001000126",9,12,8,4,7
"3714701102A",4,6,6,8,8
"37001000125",9,12,8,4,7
"37001000124",9,12,8,4,7
"371510000AN",11,2,9,7,4
"370910000SJ",4,6,6,8,8
"37099000GCK",1,10,10,10,10
"37129000W08",3,3,5,5,5
"371510000AS",11,2,9,7,4
"37165000007",2,11,3,3,11
"371510000AR",11,13,9,2,4
"3700100012E",9,12,8,4,7
"37165000004",2,11,3,3,11
"3714701513B",4,6,6,8,8
"37165000003",2,11,3,3,11
"371370003BY",4,6,6,8,8
"3714701513A",4,6,6,8,8
"3703300LOCU",9,12,8,4,7
"37161000034",1,10,10,10,13
"371510000AW",11,2,9,7,4
"370150000C1",4,6,6,8,8
"37017000P70",2,11,3,3,11
"3716100003A",1,1,10,10,13
"37067000075",12,13,2,2,9
"37067000074",12,13,2,2,9
"37025005-00",11,9,9,7,4
"37067000073",12,13,2,2,9
"37067000072",12,13,2,2,9
"37183001-29",6,4,4,6,3
"37067000071",12,13,2,2,9
"37183001-28",6,5,4,6,6
"37183001-27",6,4,11,11,6
"37183001-26",6,4,11,11,6
"37183001-25",6,4,11,11,6
"37017000P75",2,11,3,3,11
"370150000C2",4,6,6,8,8
"37067000081",12,13,2,2,9
"37161000028",1,10,10,10,13
"37161000027",1,10,10,10,13
"37183001-35",6,4,11,11,6
"37183001-34",6,5,4,6,6
"37183001-33",6,4,4,6,3
"37081000SF4",9,12,8,4,7
"37183001-32",6,4,4,6,3
"37081000SF3",9,12,8,4,7
